pulled_at,series_ticker,race,expiration_date,total_volume_usd,total_open_interest_usd,named_candidates,candidate_1,bid_1,ask_1,mid_1,vol_1_usd,oi_1_usd,candidate_2,bid_2,ask_2,mid_2,vol_2_usd,oi_2_usd,candidate_3,bid_3,ask_3,mid_3,vol_3_usd,oi_3_usd,candidate_4,bid_4,ask_4,mid_4,vol_4_usd,oi_4_usd,candidate_5,bid_5,ask_5,mid_5,vol_5_usd,oi_5_usd,candidate_6,bid_6,ask_6,mid_6,vol_6_usd,oi_6_usd,candidate_7,bid_7,ask_7,mid_7,vol_7_usd,oi_7_usd,candidate_8,bid_8,ask_8,mid_8,vol_8_usd,oi_8_usd,candidate_9,bid_9,ask_9,mid_9,vol_9_usd,oi_9_usd,candidate_10,bid_10,ask_10,mid_10,vol_10_usd,oi_10_usd,candidate_11,bid_11,ask_11,mid_11,vol_11_usd,oi_11_usd,candidate_12,bid_12,ask_12,mid_12,vol_12_usd,oi_12_usd,candidate_13,bid_13,ask_13,mid_13,vol_13_usd,oi_13_usd,candidate_14,bid_14,ask_14,mid_14,vol_14_usd,oi_14_usd,candidate_15,bid_15,ask_15,mid_15,vol_15_usd,oi_15_usd,candidate_16,bid_16,ask_16,mid_16,vol_16_usd,oi_16_usd,candidate_17,bid_17,ask_17,mid_17,vol_17_usd,oi_17_usd,candidate_18,bid_18,ask_18,mid_18,vol_18_usd,oi_18_usd
2026-07-04T12:57:20Z,KXSENATEMID,Michigan Senate — Dem Primary,2026-11-03T15:00:00Z,1300719.04,663717.38,9,Abdul El-Sayed,0.870,0.880,0.875,665622.26,343685.43,Haley Stevens,0.100,0.110,0.105,401467.59,218070.79,Mallory McMorrow,0.010,0.014,0.012,232106.37,100637.34,Matt Sahr,0.000,0.002,0.001,8.01,8.01,Kristen McDonald Rivet,0.000,0.002,0.001,194.1,194.1,Rashida Tlaib,0.000,0.001,0.001,365.1,365.1,Dana Nessel,0.000,0.001,0.001,910.41,711.41,Andy Levin,0.000,0.001,0.001,42.1,42.1,Sarah Anthony,0.000,0.001,0.001,3.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-04T12:57:20Z,KXGOVMINOMR,Michigan Governor — Rep Primary,2026-11-03T15:00:00Z,335080.28,167934.54,15,John James,0.830,0.840,0.835,161774.26,65516.27,Perry Johnson,0.091,0.110,0.101,107357.65,57982.11,Mike Cox,0.052,0.060,0.056,30893.98,23494.62,Aric Nesbitt,0.001,0.007,0.004,22141.3,8563.45,Kevin Rinke,0.001,0.005,0.003,1466.19,1353.19,Garrett Soldano,0.001,0.005,0.003,844.19,842.19,Tom Leonard,0.001,0.005,0.003,1043.19,942.19,Tudor Dixon,0.001,0.005,0.003,2124.19,2024.19,Peter Meijer,0.001,0.005,0.003,884.19,882.19,Pete Hoekstra,0.001,0.005,0.003,844.19,842.19,Lisa McClain,0.001,0.005,0.003,844.19,842.19,Jonathan Lindsey,0.001,0.005,0.003,849.19,842.19,Dick DeVos,0.001,0.005,0.003,844.19,842.19,Candice Miller,0.001,0.005,0.003,823.19,821.19,Mike Rogers,0.001,0.004,0.003,2346.19,2144.19,,,,,,,,,,,,,,,,,,
2026-07-04T12:57:20Z,KXGOVMINOMD,Michigan Governor — Dem Primary,2026-11-03T15:00:00Z,52969.13,25970.01,9,Jocelyn Benson,0.950,0.990,0.970,25678.23,11237.51,Chris Swanson,0.003,0.050,0.026,13583.27,8694.87,Mark Hackel,0.001,0.018,0.009,2248.02,1350.02,Garlin Gilchrist,0.001,0.018,0.009,5156.61,1052.61,Mallory McMorrow,0.001,0.010,0.005,680.0,462.0,Joe Tate,0.001,0.009,0.005,53.0,53.0,Dan Kildee,0.001,0.009,0.005,53.0,53.0,Winnie Brinks,0.001,0.009,0.005,53.0,53.0,Pete Buttigieg,0.001,0.009,0.005,5464.0,3014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-04T12:57:20Z,KXHOUSERACE,Michigan MI01 House — General,2027-11-03T15:00:00Z,14633.28,3037.43,2,Republican party,0.800,0.830,0.815,9589.82,1494.08,Democratic party,0.170,0.200,0.185,5043.46,1543.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-04T12:57:20Z,HOUSEMI10,Michigan MI-10 House — General,2027-11-03T15:00:00Z,13494.93,6356.25,2,Democratic party,0.630,0.650,0.640,8596.94,4282.26,Republican party,0.330,0.400,0.365,4897.99,2073.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-04T12:57:20Z,KXHOUSERACE,Michigan MI02 House — General,2027-11-03T15:00:00Z,7197.0,3309.0,2,Republican party,0.928,0.959,0.944,5915.0,2797.0,Democratic party,0.041,0.072,0.057,1282.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-04T12:57:20Z,KXHOUSERACE,Michigan MI09 House — General,2027-11-03T15:00:00Z,5673.42,1485.26,2,Republican party,0.933,0.964,0.949,4733.3,919.14,Democratic party,0.036,0.067,0.051,940.12,566.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-04T12:57:20Z,KXSENATEMIR,Michigan Senate — Rep Primary,2026-11-03T15:00:00Z,3898.35,2640.35,5,Mike Rogers,0.961,0.984,0.973,3580.07,2394.07,Bernadette Smith,0.000,0.033,0.017,156.28,84.28,Genevieve Scott,0.000,0.016,0.008,2.0,2.0,Kent Benham,0.000,0.013,0.006,119.0,119.0,Frederick Heurtebise,0.000,0.009,0.004,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-04T12:57:20Z,KXHOUSERACE,Michigan MI05 House — General,2027-11-03T15:00:00Z,2704.0,1391.0,2,Republican party,0.904,0.935,0.919,1413.0,602.0,Democratic party,0.066,0.096,0.081,1291.0,789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-04T12:57:20Z,KXHOUSERACE,Michigan MI06 House — General,2027-11-03T15:00:00Z,788.0,774.0,2,Democratic party,0.952,0.983,0.968,679.0,665.0,Republican party,0.017,0.047,0.032,109.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
