pulled_at,series_ticker,race,expiration_date,total_volume_usd,total_open_interest_usd,named_candidates,candidate_1,bid_1,ask_1,mid_1,vol_1_usd,oi_1_usd,candidate_2,bid_2,ask_2,mid_2,vol_2_usd,oi_2_usd,candidate_3,bid_3,ask_3,mid_3,vol_3_usd,oi_3_usd,candidate_4,bid_4,ask_4,mid_4,vol_4_usd,oi_4_usd,candidate_5,bid_5,ask_5,mid_5,vol_5_usd,oi_5_usd,candidate_6,bid_6,ask_6,mid_6,vol_6_usd,oi_6_usd,candidate_7,bid_7,ask_7,mid_7,vol_7_usd,oi_7_usd,candidate_8,bid_8,ask_8,mid_8,vol_8_usd,oi_8_usd,candidate_9,bid_9,ask_9,mid_9,vol_9_usd,oi_9_usd,candidate_10,bid_10,ask_10,mid_10,vol_10_usd,oi_10_usd,candidate_11,bid_11,ask_11,mid_11,vol_11_usd,oi_11_usd,candidate_12,bid_12,ask_12,mid_12,vol_12_usd,oi_12_usd,candidate_13,bid_13,ask_13,mid_13,vol_13_usd,oi_13_usd,candidate_14,bid_14,ask_14,mid_14,vol_14_usd,oi_14_usd,candidate_15,bid_15,ask_15,mid_15,vol_15_usd,oi_15_usd,candidate_16,bid_16,ask_16,mid_16,vol_16_usd,oi_16_usd,candidate_17,bid_17,ask_17,mid_17,vol_17_usd,oi_17_usd,candidate_18,bid_18,ask_18,mid_18,vol_18_usd,oi_18_usd
2026-07-07T14:04:07Z,KXSENATEMID,Michigan Senate — Dem Primary,2026-11-03T15:00:00Z,1550598.81,740933.08,9,Abdul El-Sayed,0.850,0.860,0.855,810677.79,364196.96,Haley Stevens,0.140,0.150,0.145,496990.68,268148.3,Kristen McDonald Rivet,0.001,0.004,0.003,2265.07,2264.97,Rashida Tlaib,0.001,0.002,0.002,1135.95,1135.95,Dana Nessel,0.001,0.002,0.002,1637.71,1438.71,Matt Sahr,0.000,0.001,0.001,676.87,676.87,Andy Levin,0.000,0.001,0.001,42.1,42.1,Sarah Anthony,0.000,0.001,0.001,3.1,3.1,Mallory McMorrow,0.000,0.001,0.001,237169.54,103026.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07T14:04:07Z,KXGOVMINOMR,Michigan Governor — Rep Primary,2026-11-03T15:00:00Z,338942.91,169215.16,15,John James,0.830,0.840,0.835,163534.3,65001.29,Perry Johnson,0.095,0.130,0.113,107765.33,58082.8,Mike Cox,0.053,0.060,0.057,30893.98,23494.62,Aric Nesbitt,0.001,0.007,0.004,22141.3,8563.45,Mike Rogers,0.000,0.001,0.001,2506.0,2304.0,Kevin Rinke,0.000,0.001,0.001,1626.0,1513.0,Garrett Soldano,0.000,0.001,0.001,1004.0,1002.0,Tom Leonard,0.000,0.001,0.001,1143.0,1042.0,Tudor Dixon,0.000,0.001,0.001,2260.0,2160.0,Peter Meijer,0.000,0.001,0.001,1044.0,1042.0,Pete Hoekstra,0.000,0.001,0.001,1004.0,1002.0,Lisa McClain,0.000,0.001,0.001,1004.0,1002.0,Jonathan Lindsey,0.000,0.001,0.001,1009.0,1002.0,Dick DeVos,0.000,0.001,0.001,1004.0,1002.0,Candice Miller,0.000,0.001,0.001,1004.0,1002.0,,,,,,,,,,,,,,,,,,
2026-07-07T14:04:07Z,KXGOVMINOMD,Michigan Governor — Dem Primary,2026-11-03T15:00:00Z,56890.94,29812.64,9,Jocelyn Benson,0.950,0.984,0.967,25948.74,11428.84,Chris Swanson,0.008,0.052,0.030,15276.67,10388.27,Garlin Gilchrist,0.001,0.019,0.010,5409.28,1305.28,Mark Hackel,0.001,0.018,0.009,2303.25,1405.25,Mallory McMorrow,0.001,0.010,0.005,1013.0,795.0,Joe Tate,0.001,0.009,0.005,386.0,386.0,Dan Kildee,0.001,0.009,0.005,386.0,386.0,Winnie Brinks,0.001,0.009,0.005,386.0,386.0,Pete Buttigieg,0.000,0.009,0.004,5782.0,3332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07T14:04:07Z,KXHOUSERACE,Michigan MI01 House — General,2027-11-03T15:00:00Z,14633.28,3037.43,2,Republican party,0.800,0.830,0.815,9589.82,1494.08,Democratic party,0.170,0.200,0.185,5043.46,1543.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07T14:04:07Z,HOUSEMI10,Michigan MI-10 House — General,2027-11-03T15:00:00Z,13497.93,6356.25,2,Democratic party,0.630,0.650,0.640,8599.94,4282.26,Republican party,0.330,0.400,0.365,4897.99,2073.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07T14:04:07Z,KXHOUSERACE,Michigan MI02 House — General,2027-11-03T15:00:00Z,7817.13,3310.13,2,Republican party,0.934,0.964,0.949,5964.0,2797.0,Democratic party,0.035,0.066,0.051,1853.13,513.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07T14:04:07Z,KXHOUSERACE,Michigan MI09 House — General,2027-11-03T15:00:00Z,5673.42,1485.26,2,Republican party,0.933,0.964,0.949,4733.3,919.14,Democratic party,0.036,0.067,0.051,940.12,566.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07T14:04:07Z,KXSENATEMIR,Michigan Senate — Rep Primary,2026-11-03T15:00:00Z,4038.38,2775.38,5,Mike Rogers,0.960,0.989,0.975,3684.08,2495.08,Bernadette Smith,0.000,0.030,0.015,192.3,118.3,Genevieve Scott,0.000,0.015,0.007,2.0,2.0,Kent Benham,0.000,0.011,0.005,119.0,119.0,Frederick Heurtebise,0.000,0.008,0.004,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07T14:04:07Z,KXHOUSERACE,Michigan MI05 House — General,2027-11-03T15:00:00Z,2704.0,1391.0,2,Republican party,0.904,0.935,0.919,1413.0,602.0,Democratic party,0.066,0.096,0.081,1291.0,789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07T14:04:07Z,KXHOUSERACE,Michigan MI06 House — General,2027-11-03T15:00:00Z,788.0,774.0,2,Democratic party,0.952,0.983,0.968,679.0,665.0,Republican party,0.017,0.047,0.032,109.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07T14:04:07Z,KXHOUSERACE,Michigan MI13 House — General,2027-11-03T15:00:00Z,533.0,481.0,2,Democratic party,0.961,0.991,0.976,386.0,334.0,Republican party,0.009,0.039,0.024,147.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07T14:04:07Z,KXHOUSERACE,Michigan MI11 House — General,2027-11-03T15:00:00Z,511.0,507.0,2,Democratic party,0.955,0.985,0.970,509.0,505.0,Republican party,0.015,0.045,0.030,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07T14:04:07Z,KXHOUSERACE,Michigan MI12 House — General,2027-11-03T15:00:00Z,374.0,370.0,2,Democratic party,0.963,0.990,0.977,259.0,255.0,Republican party,0.007,0.037,0.022,115.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
