pulled_at,series_ticker,race,expiration_date,total_volume_usd,total_open_interest_usd,named_candidates,candidate_1,bid_1,ask_1,mid_1,vol_1_usd,oi_1_usd,candidate_2,bid_2,ask_2,mid_2,vol_2_usd,oi_2_usd,candidate_3,bid_3,ask_3,mid_3,vol_3_usd,oi_3_usd,candidate_4,bid_4,ask_4,mid_4,vol_4_usd,oi_4_usd,candidate_5,bid_5,ask_5,mid_5,vol_5_usd,oi_5_usd,candidate_6,bid_6,ask_6,mid_6,vol_6_usd,oi_6_usd,candidate_7,bid_7,ask_7,mid_7,vol_7_usd,oi_7_usd,candidate_8,bid_8,ask_8,mid_8,vol_8_usd,oi_8_usd,candidate_9,bid_9,ask_9,mid_9,vol_9_usd,oi_9_usd,candidate_10,bid_10,ask_10,mid_10,vol_10_usd,oi_10_usd,candidate_11,bid_11,ask_11,mid_11,vol_11_usd,oi_11_usd,candidate_12,bid_12,ask_12,mid_12,vol_12_usd,oi_12_usd,candidate_13,bid_13,ask_13,mid_13,vol_13_usd,oi_13_usd,candidate_14,bid_14,ask_14,mid_14,vol_14_usd,oi_14_usd,candidate_15,bid_15,ask_15,mid_15,vol_15_usd,oi_15_usd,candidate_16,bid_16,ask_16,mid_16,vol_16_usd,oi_16_usd,candidate_17,bid_17,ask_17,mid_17,vol_17_usd,oi_17_usd,candidate_18,bid_18,ask_18,mid_18,vol_18_usd,oi_18_usd
2026-07-26T12:55:22Z,KXSENATEMID,Michigan Senate — Dem Primary,2026-11-03T15:00:00Z,3698637.81,1822841.42,9,Abdul El-Sayed,0.630,0.640,0.635,1721496.53,804647.65,Haley Stevens,0.360,0.370,0.365,1625862.98,851514.56,Mallory McMorrow,0.000,0.004,0.002,338761.7,154367.71,Rashida Tlaib,0.000,0.001,0.001,2604.35,2602.35,Matt Sahr,0.000,0.001,0.001,677.87,677.87,Kristen McDonald Rivet,0.000,0.001,0.001,2718.07,2715.97,Dana Nessel,0.000,0.001,0.001,4190.71,3989.71,Andy Levin,0.000,0.001,0.001,1397.1,1397.1,Sarah Anthony,0.000,0.001,0.001,928.5,928.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-26T12:55:22Z,KXGOVMINOMR,Michigan Governor — Rep Primary,2026-11-03T15:00:00Z,619210.52,394277.54,15,John James,0.890,0.900,0.895,345091.64,220528.83,Perry Johnson,0.110,0.120,0.115,196507.84,124570.35,Aric Nesbitt,0.000,0.009,0.004,23912.2,10280.93,Mike Cox,0.002,0.006,0.004,39000.84,24824.43,Kevin Rinke,0.000,0.004,0.002,1626.0,1513.0,Garrett Soldano,0.000,0.004,0.002,1004.0,1002.0,Tom Leonard,0.000,0.004,0.002,1143.0,1042.0,Tudor Dixon,0.000,0.004,0.002,2260.0,2160.0,Peter Meijer,0.000,0.004,0.002,1044.0,1042.0,Pete Hoekstra,0.000,0.004,0.002,1004.0,1002.0,Lisa McClain,0.000,0.004,0.002,1004.0,1002.0,Jonathan Lindsey,0.000,0.004,0.002,1009.0,1002.0,Dick DeVos,0.000,0.004,0.002,1004.0,1002.0,Candice Miller,0.000,0.004,0.002,1094.0,1002.0,Mike Rogers,0.000,0.003,0.002,2506.0,2304.0,,,,,,,,,,,,,,,,,,
2026-07-26T12:55:22Z,KXGOVMINOMD,Michigan Governor — Dem Primary,2026-11-03T15:00:00Z,62033.66,34428.2,9,Jocelyn Benson,0.980,0.995,0.988,28409.36,13610.58,Chris Swanson,0.004,0.020,0.012,16529.92,11641.52,Mark Hackel,0.001,0.012,0.006,2434.45,1536.45,Mallory McMorrow,0.001,0.010,0.005,1171.45,953.45,Garlin Gilchrist,0.001,0.010,0.005,6135.95,1783.67,Joe Tate,0.001,0.009,0.005,582.4,582.4,Dan Kildee,0.001,0.009,0.005,479.0,479.0,Winnie Brinks,0.001,0.009,0.005,479.0,479.0,Pete Buttigieg,0.000,0.009,0.004,5812.13,3362.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-26T12:55:22Z,KXHOUSERACE,Michigan MI01 House — General,2027-11-03T15:00:00Z,17267.85,3737.54,2,Republican party,0.890,0.901,0.895,9854.39,1431.65,Democratic party,0.099,0.140,0.119,7413.46,2305.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-26T12:55:22Z,HOUSEMI10,Michigan MI-10 House — General,2027-11-03T15:00:00Z,15387.29,6715.61,2,Democratic party,0.600,0.650,0.625,9194.33,4596.65,Republican party,0.350,0.400,0.375,6192.96,2118.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-26T12:55:22Z,KXHOUSERACE,Michigan MI02 House — General,2027-11-03T15:00:00Z,8545.13,3827.0,2,Republican party,0.956,0.980,0.968,5964.0,2797.0,Democratic party,0.013,0.045,0.029,2581.13,1030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-26T12:55:22Z,KXHOUSERACE,Michigan MI09 House — General,2027-11-03T15:00:00Z,5723.42,1534.26,2,Republican party,0.934,0.965,0.950,4783.3,968.14,Democratic party,0.035,0.066,0.051,940.12,566.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-26T12:55:22Z,KXSENATEMIR,Michigan Senate — Rep Primary,2026-11-03T15:00:00Z,4813.44,3537.38,5,Mike Rogers,0.985,0.990,0.988,4236.26,3038.2,Bernadette Smith,0.000,0.015,0.007,370.8,292.8,Kent Benham,0.000,0.010,0.005,162.35,162.35,Genevieve Scott,0.000,0.009,0.004,2.0,2.0,Frederick Heurtebise,0.000,0.009,0.004,42.03,42.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-26T12:55:22Z,KXHOUSERACE,Michigan MI05 House — General,2027-11-03T15:00:00Z,2853.25,1490.25,2,Republican party,0.904,0.934,0.919,1463.0,602.0,Democratic party,0.073,0.097,0.085,1390.25,888.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-26T12:55:22Z,KXHOUSERACE,Michigan MI06 House — General,2027-11-03T15:00:00Z,788.0,774.0,2,Democratic party,0.952,0.983,0.968,679.0,665.0,Republican party,0.017,0.047,0.032,109.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
